perturbation_type,magnitude,max_deviation_km,final_deviation_km,avg_rmse
temperature,0.1,23.828158766815946,6.647230340502289,0.26158337235392537
temperature,0.3,23.828158766815946,6.647230340502289,0.9132615040289238
temperature,0.5,23.828158766815946,6.647230340502289,1.7274183105910197
temperature,1.0,27.549578685740766,27.549578685740766,4.4448864322621375
temperature,2.0,309.97403555323075,189.38594235098546,10.045687783043832
temperature,3.0,94.92068238845555,34.82716754064727,15.19218657258898
winds,0.2,0.0,0.0,0.36141591289197095
winds,0.5,23.828158766815946,6.647230340502289,1.0802776544587687
winds,1.0,34.472944476338945,34.472944476338945,2.635707386652939
winds,2.0,28.058846522002543,28.058846522002543,5.983596220612526
winds,5.0,270.0268092705785,168.25201454592212,13.597570674493909
winds,10.0,332.339797017086,265.22030617142923,24.678708957508206
pressure,20.0,0.0,0.0,0.4106186680292012
pressure,50.0,23.828158766815946,6.647230340502289,1.1005477191938553
pressure,100.0,27.798731661139367,5.2711470726823775,2.371780599001795
pressure,200.0,35.9126409113052,13.332139818322041,4.883379454258829
pressure,500.0,270.0268092705785,154.26877217082694,13.348609517794102
pressure,1000.0,573.8836293802798,573.8836293802798,23.876323834992945
